2024-12-08 11:15:48,744 - ModelTrainer - INFO - Initialized ModelTrainer with 100 trials and 15 workers
2024-12-08 11:15:48,745 - ModelTrainer - INFO - Starting overnight training pipeline...
2024-12-08 11:15:48,745 - ModelTrainer - INFO - Loading data...
2024-12-08 11:15:49,229 - ModelTrainer - INFO - Data loaded in 0.48 seconds
2024-12-08 11:15:49,230 - ModelTrainer - INFO - Train shape: (2431886, 20)
2024-12-08 11:15:49,230 - ModelTrainer - INFO - Valid shape: (256128, 20)
2024-12-08 11:15:49,230 - ModelTrainer - INFO - Test shape: (256157, 20)
2024-12-08 11:15:49,230 - ModelTrainer - INFO - Features: ['hour', 'day_of_week', 'month', 'is_weekend', 'temperature_2m', 'relative_humidity_2m', 'wind_speed_10m', 'building_class_encoded', 'cluster_size', 'demand_lag_24h', 'demand_lag_168h', 'demand_rolling_mean_24h']
2024-12-08 11:15:49,320 - ModelTrainer - INFO - Found existing checkpoint
2024-12-08 11:15:49,320 - ModelTrainer - INFO - Resuming training. Completed models: ['lightgbm']
2024-12-08 11:15:49,369 - ModelTrainer - INFO - 
Optimizing xgboost...
2024-12-08 11:15:49,433 - ModelTrainer - INFO - Restored 0 trials for xgboost
2024-12-08 11:15:49,475 - ModelTrainer - INFO - Current memory usage: 953.27 MB
2024-12-08 11:22:36,740 - ModelTrainer - DEBUG - XGBoost trial 0: score=13.4150, time=407.26s, params={'objective': 'reg:squarederror', 'max_depth': 11, 'learning_rate': 0.0476369284361108, 'n_estimators': 1000, 'min_child_weight': 5, 'subsample': 0.804909341017203, 'colsample_bytree': 0.888037248709879, 'reg_alpha': 7.530653004885166e-08, 'reg_lambda': 0.005476780506759584, 'tree_method': 'hist', 'early_stopping_rounds': 50}
2024-12-08 11:23:12,815 - ModelTrainer - DEBUG - XGBoost trial 4: score=13.5632, time=443.33s, params={'objective': 'reg:squarederror', 'max_depth': 8, 'learning_rate': 0.07000435089620242, 'n_estimators': 1000, 'min_child_weight': 2, 'subsample': 0.8828273819581951, 'colsample_bytree': 0.9806356054501151, 'reg_alpha': 0.46154065384290227, 'reg_lambda': 5.130902954017134e-08, 'tree_method': 'hist', 'early_stopping_rounds': 50}
2024-12-08 11:25:45,993 - ModelTrainer - DEBUG - XGBoost trial 7: score=18.3048, time=596.50s, params={'objective': 'reg:squarederror', 'max_depth': 3, 'learning_rate': 0.06429167140368289, 'n_estimators': 1000, 'min_child_weight': 4, 'subsample': 0.6723421788569436, 'colsample_bytree': 0.6692580440144333, 'reg_alpha': 3.342886147545204e-08, 'reg_lambda': 4.440736558164111, 'tree_method': 'hist', 'early_stopping_rounds': 50}
2024-12-08 11:25:54,173 - ModelTrainer - DEBUG - XGBoost trial 11: score=14.1834, time=604.67s, params={'objective': 'reg:squarederror', 'max_depth': 11, 'learning_rate': 0.06052514092723863, 'n_estimators': 1000, 'min_child_weight': 4, 'subsample': 0.7087994043451131, 'colsample_bytree': 0.6594444589465666, 'reg_alpha': 0.00020543808304645468, 'reg_lambda': 1.4405990213174535, 'tree_method': 'hist', 'early_stopping_rounds': 50}
2024-12-08 11:26:10,669 - ModelTrainer - DEBUG - XGBoost trial 14: score=17.2981, time=621.15s, params={'objective': 'reg:squarederror', 'max_depth': 3, 'learning_rate': 0.09368382250328762, 'n_estimators': 1000, 'min_child_weight': 5, 'subsample': 0.70973832469787, 'colsample_bytree': 0.8014627801754036, 'reg_alpha': 0.0062599494106857735, 'reg_lambda': 1.88211861635178e-06, 'tree_method': 'hist', 'early_stopping_rounds': 50}
2024-12-08 11:26:50,747 - ModelTrainer - DEBUG - XGBoost trial 9: score=13.7945, time=661.25s, params={'objective': 'reg:squarederror', 'max_depth': 8, 'learning_rate': 0.027448723347492366, 'n_estimators': 1000, 'min_child_weight': 1, 'subsample': 0.6148065263811032, 'colsample_bytree': 0.943690718150225, 'reg_alpha': 0.003931334843894676, 'reg_lambda': 0.010402772713758017, 'tree_method': 'hist', 'early_stopping_rounds': 50}
2024-12-08 11:27:08,347 - ModelTrainer - DEBUG - XGBoost trial 5: score=15.8379, time=678.86s, params={'objective': 'reg:squarederror', 'max_depth': 4, 'learning_rate': 0.05744424222321927, 'n_estimators': 1000, 'min_child_weight': 5, 'subsample': 0.768935079050262, 'colsample_bytree': 0.8198676458600013, 'reg_alpha': 0.00011147482778470248, 'reg_lambda': 0.007800298797461488, 'tree_method': 'hist', 'early_stopping_rounds': 50}
2024-12-08 11:27:10,186 - ModelTrainer - DEBUG - XGBoost trial 6: score=17.2088, time=680.70s, params={'objective': 'reg:squarederror', 'max_depth': 4, 'learning_rate': 0.025593079772809918, 'n_estimators': 1000, 'min_child_weight': 7, 'subsample': 0.6495193369896322, 'colsample_bytree': 0.8809291763238978, 'reg_alpha': 0.09125997343603592, 'reg_lambda': 1.6743133449617608e-08, 'tree_method': 'hist', 'early_stopping_rounds': 50}
2024-12-08 11:27:13,567 - ModelTrainer - DEBUG - XGBoost trial 12: score=20.1177, time=684.06s, params={'objective': 'reg:squarederror', 'max_depth': 4, 'learning_rate': 0.014140969284245016, 'n_estimators': 1000, 'min_child_weight': 4, 'subsample': 0.6582628264687413, 'colsample_bytree': 0.6712710085588232, 'reg_alpha': 0.0007180775346411623, 'reg_lambda': 1.1300880025127043e-05, 'tree_method': 'hist', 'early_stopping_rounds': 50}
2024-12-08 11:27:29,779 - ModelTrainer - DEBUG - XGBoost trial 8: score=17.1495, time=700.28s, params={'objective': 'reg:squarederror', 'max_depth': 4, 'learning_rate': 0.02546707526245285, 'n_estimators': 1000, 'min_child_weight': 3, 'subsample': 0.7791971242549531, 'colsample_bytree': 0.8604923220798146, 'reg_alpha': 1.4786311793662444e-06, 'reg_lambda': 1.983799481499983, 'tree_method': 'hist', 'early_stopping_rounds': 50}
2024-12-08 11:27:36,130 - ModelTrainer - DEBUG - XGBoost trial 1: score=13.8932, time=706.65s, params={'objective': 'reg:squarederror', 'max_depth': 11, 'learning_rate': 0.02272367431441325, 'n_estimators': 1000, 'min_child_weight': 3, 'subsample': 0.6693880925872318, 'colsample_bytree': 0.683753745805849, 'reg_alpha': 0.0014475491400028524, 'reg_lambda': 5.595942984765629e-06, 'tree_method': 'hist', 'early_stopping_rounds': 50}
2024-12-08 11:28:06,729 - ModelTrainer - DEBUG - XGBoost trial 3: score=15.3999, time=737.25s, params={'objective': 'reg:squarederror', 'max_depth': 5, 'learning_rate': 0.024520292953389377, 'n_estimators': 1000, 'min_child_weight': 5, 'subsample': 0.9542919450014533, 'colsample_bytree': 0.781564691161145, 'reg_alpha': 0.0014538717222768128, 'reg_lambda': 0.003061733601282734, 'tree_method': 'hist', 'early_stopping_rounds': 50}
2024-12-08 11:28:21,784 - ModelTrainer - DEBUG - XGBoost trial 10: score=15.2419, time=752.28s, params={'objective': 'reg:squarederror', 'max_depth': 6, 'learning_rate': 0.015663763608277544, 'n_estimators': 1000, 'min_child_weight': 4, 'subsample': 0.9383253234226512, 'colsample_bytree': 0.7470194198606842, 'reg_alpha': 0.16108465754806317, 'reg_lambda': 1.124950645962598e-05, 'tree_method': 'hist', 'early_stopping_rounds': 50}
2024-12-08 11:28:22,239 - ModelTrainer - DEBUG - XGBoost trial 13: score=14.1966, time=752.72s, params={'objective': 'reg:squarederror', 'max_depth': 10, 'learning_rate': 0.023642074425866105, 'n_estimators': 1000, 'min_child_weight': 4, 'subsample': 0.7111454837147008, 'colsample_bytree': 0.6302795739624809, 'reg_alpha': 0.0004092623004195264, 'reg_lambda': 3.966527189536095e-05, 'tree_method': 'hist', 'early_stopping_rounds': 50}
2024-12-08 11:28:27,080 - ModelTrainer - DEBUG - XGBoost trial 2: score=13.4639, time=757.60s, params={'objective': 'reg:squarederror', 'max_depth': 12, 'learning_rate': 0.01594368338499738, 'n_estimators': 1000, 'min_child_weight': 5, 'subsample': 0.681627126499079, 'colsample_bytree': 0.7752426021730154, 'reg_alpha': 0.0368497680658264, 'reg_lambda': 5.846222341473679e-06, 'tree_method': 'hist', 'early_stopping_rounds': 50}
